ticker,event_date,move_pct,atr_pct,normalized_move,price_at_event,event_type,drug_name,catalyst_summary,catalyst_type,nct_id,indication,phase,is_pivotal,pivotal_evidence,press_release_url,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,cash_runway_months,short_percent,institutional_ownership,analyst_target,analyst_rating,data_quality_score,errors,timestamp,data_quality_threshold_passed,is_valid_date,move_magnitude,move_class_abs,move_class_norm,move_class_combo,stock_relative_move
CTMX,2024-05-10,-2.94,13.73,0.21,1.98,Loser,CX-904,"CytomX Therapeutics (CTMX) announced preliminary Phase 1a clinical trial data for CX-904 on May 8, 2024, which is on or around 2024-05-10, based on a data cutoff of April 16, 2024 from 35 patients.[4][5][6]",Clinical Data,NCT05387265,Advanced or metastatic solid tumors expressing EGFR,Phase 1,False,,,Unclear,"CX-904 demonstrated a favorable safety profile with no grade 2 or higher cytokine release syndrome at the highest 6 mg dose, and 8 patients experienced measurable tumor reduction, with 2 of 6 pancreatic cancer patients achieving confirmed partial response.","A Phase 1/1b, Open-label, Dose-finding, First-in-human Study to Evaluate the Safety and Antitumor Activity of CX-904, an EGFR-targeted T-cell Engager in Advanced Solid Tumors (CTMX-904-101)",PHASE1,83.0,Solid Tumors,TERMINATED,CytomX Therapeutics,,2025-06-04,920.03,5.43,143.63,23.0,0.09,0.92,9.0,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
VSTM,2024-05-28,-2.43,31.67,0.08,4.02,Loser,avutometinib and defactinib,"In May 2024, Verastem announced pancreatic cancer study data showing 83% of patients achieved a confirmed partial response as of May 14, 2024[3].",Clinical Data,NCT06072781,Low Grade Serous Ovarian Cancer,Phase 2,True,Supported FDA accelerated approval based on ORR of 44% in KRAS-mutated recurrent LGSOC[4],,Yes,Confirmed ORR of 31% in all recurrent LGSOC patients and 44% in KRAS-mutated subgroup per blinded independent review[1][4],"A Phase 3, Randomized, Open-Label Study of Combination Therapy With Avutometinib Plus Defactinib Versus Investigator's Choice of Treatment in Patients With Recurrent Low-Grade Serous Ovarian Cancer (LGSOC) (RAMP 301)",PHASE3,270.0,Low Grade Serous Ovarian Cancer,RECRUITING,"Verastem, Inc.",RANDOMIZED,2028-10-15,446.65,5.93,137.71,12.0,0.22,0.99,16.62,strong_buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
BIOA,2024-12-10,-3.87,6.03,0.64,4.47,Loser,azelaprag,"BioAge Labs (BIOA) announced on December 6, 2024, the discontinuation of the STRIDES Phase 2 clinical trial for azelaprag due to unexpected liver transaminitis observed in some patients, sharing safety data but no efficacy results.[3][1]",Clinical Data,NCT06515418,Obesity,Phase 2,False,,,Unclear,Trial discontinued due to unexpected liver transaminitis in 11 of 204 patients on azelaprag; no efficacy results released.,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-Arm Proof-of-Concept Study to Investigate Efficacy and Safety of Oral Azelaprag Plus Once Weekly Tirzepatide Compared with Tirzepatide Alone in Participants with Obesity Aged 55 Years and Over (STRIDES)",PHASE2,204.0,Obesity,TERMINATED,"BioAge Labs, Inc.",RANDOMIZED,2025-02-06,856.34,20.51,285.78,58.0,0.03,0.64,33.33,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
SNSE,2024-05-29,2.29,33.66,0.07,16.98,Gainer,solnerstotug,"Sensei Biotherapeutics (SNSE) announced Phase 1/2 dose expansion clinical trial results for solnerstotug on or around May 29, 2024, showing 6-month PFS of 50% at 15 mg/kg in PD-(L)1 resistant patients, overall 37% PFS in prior PD-(L)1 progressors, six clinical responses including one durable complete response, and a favorable safety profile with only Grade 1 CRS events.",Clinical Data,NCT05864144,"Advanced solid tumors, with focus on PD-(L)1 resistant tumors including non-small cell lung cancer, esophageal cancer, Merkel cell carcinoma, and other solid tumor types",Phase 1/2,False,,,Unclear,"At 15 mg/kg dose in combination with cemiplimab, solnerstotug achieved 6-month PFS of 50% in PD-(L)1 resistant patients and an overall response rate of 14% in the dose escalation portion, with six clinical responses including one durable complete response, demonstrating activity in treatment-refractory tumors[1][2].","A Phase 1/2, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of SNS-101 (Anti VISTA) as Monotherapy and in Combination With Cemiplimab in Patients With Advanced Solid Tumors",PHASE1/PHASE2,98.0,"Solid Tumor, Adult; Advanced Solid Tumor; Head and Neck Cancer; Breast Cancer; Colon Cancer; Pancreatic Cancer; Gastric Cancer; Esophageal Cancer; Prostate Cancer; Uterine Cancer; Cervix Cancer; Ovarian Cancer; Kidney Cancer; Bladder Cancer; Thyroid Cancer; Melanoma; Sarcoma; Advanced Cancer; Metastatic Cancer; Refractory Cancer; Non Small Cell Lung Cancer; Merkel Cell Carcinoma",ACTIVE_NOT_RECRUITING,"Sensei Biotherapeutics, Inc.",NON_RANDOMIZED,2027-06,42.25,33.5,25.04,13.0,0.03,0.04,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
TBIO,2024-08-15,2.23,24.77,0.09,3.62,Gainer,TIDAL-01,"Turnstone Biologics (TBIO/TSBX) announced positive initial Phase 1 STARLING trial data for TIDAL-01 in metastatic colorectal cancer on August 15, 2024, reporting a 25% ORR and 50% DCR in four evaluable patients as of July 15, 2024 cutoff.[1][2]",Clinical Data,,metastatic colorectal cancer,Phase 1,False,,,Unclear,Phase 1 trial focused on safety and tolerability with no formal primary efficacy endpoint; reported 25% ORR and 50% DCR in 4 evaluable MSS mCRC patients.,,,,,,,,,0.1,0.06,4.51,2.0,0.07,0.3,,none,0.55,,,False,True,Low,VeryLow,Noise,Low,Low
NTLA,2025-11-10,2.21,24.75,0.09,9.73,Gainer,nexiguran ziclumeran (nex-z),"Intellia Therapeutics announced positive longer-term Phase 1 clinical trial data for nexiguran ziclumeran (nex-z) in ATTR-CM on November 10, 2025, showing durable TTR reduction and disease stability through three years.[1][2]",Clinical Data,NCT06672237,ATTR amyloidosis with cardiomyopathy (ATTR-CM),Phase 1,False,,,Yes,"Achieved consistent, deep, and durable serum TTR reduction of approximately 90% through three years with a single dose.","MAGNITUDE-2: A Phase 3, Multinational, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of NTLA-2001 in Participants With Hereditary Transthyretin Amyloidosis With Polyneuropathy (ATTRv-PN)",PHASE3,50.0,"Neuromuscular Disease; Neuromuscular Diseases (NMD); Neurodegenerative Disease; Neurodegenerative Disease, Hereditary; Neurodegenerative Diseases; Neuromuscular Diseases; Nerve Disorders; Nervous System Disease; Nervous System Diseases; Genetic Disease, Inborn; Amyloidosis, Familial; Amyloidosis, Hereditary; Amyloidosis; Polyneuropathies; Amyloid Neuropathies; Amyloid Neuropathies, Familial; Peripheral Nervous System Disease; Peripheral Nervous System Diseases; Metabolism, Inborn Errors; Metabolic Diseases",ACTIVE_NOT_RECRUITING,Intellia Therapeutics,RANDOMIZED,2027-07,1464.09,12.64,511.04,14.0,0.44,0.87,23.86,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
VYNE,2025-08-11,-4.48,48.56,0.09,0.34,Loser,repibresib gel,"VYNE Therapeutics announced topline results from its Phase 2b trial of repibresib gel in nonsegmental vitiligo on or around August 11, 2025, reporting that it missed primary and key secondary endpoints but showed statistically significant effects in some secondary and exploratory endpoints at the 3% dose.[1][2][3]",Clinical Data,,nonsegmental vitiligo,Phase 2b,False,,,No,Trial did not meet primary endpoint of F-VASI50 or key secondary endpoint of F-VASI75.,,,,,,,,,19.8,0.59,32.7,10.0,0.02,0.27,2.0,none,0.55,,,False,True,Low,VeryLow,Noise,Low,Low
SAVA,2024-12-02,-10.16,102.12,0.1,3.45,Loser,simufilam,"No, there were no clinical trial data or results announced for SAVA (Cassava Sciences) on or around 2024-12-02; the Phase 3 RETHINK-ALZ and REFOCUS-ALZ results for simufilam in Alzheimer's were published later in a peer-reviewed article confirming failure to meet endpoints but favorable safety, with topline data planned for early 2025.[1][3]",Clinical Data,NCT04994483,Alzheimer Disease,Phase 3,True,Phase III ReThink-ALZ study designed as registrational trial for mild-to-moderate Alzheimer's disease,,No,Failed to meet co-primary endpoints of change in cognition (ADAS-COG12) and function (ADCS-ADL) after one year in ReThink-ALZ trial[1][4],"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,,,True,True,Low,Low,Noise,Low,Low
MIST,2025-04-11,2.8,34.51,0.08,0.77,Gainer,AP01 (inhaled pirfenidone),No clinical trial data or results for the MIST phase 2b trial of AP01 in progressive pulmonary fibrosis were announced on or around 2025-04-11; available information consists only of the study protocol published in late 2025 and ongoing recruitment details.,Clinical Data,NCT06329401,Progressive Pulmonary Fibrosis,Phase 2b,False,,,Unclear,No clinical trial data or results released; trial is ongoing with recruitment as of late 2024/early 2025.,"A Randomized, Double-Blind, Placebo-Controlled, Phase 2b Study Evaluating the Safety and Efficacy of Pirfenidone Solution for Inhalation (AP01) in Participants With PPF",PHASE2,375.0,Progressive Pulmonary Fibrosis,RECRUITING,Avalyn Pharma Inc.,RANDOMIZED,2027-06,144.79,1.7,82.58,22.0,0.11,0.42,6.6,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
LXEO,2025-05-12,-2.23,23.13,0.1,2.63,Loser,LX2006,"Lexeo Therapeutics released its Q3 2025 10-Q SEC filing on May 12, 2025, which included clinical trials updates on LX2006 for Friedreich ataxia cardiomyopathy, noting improvements in cardiac biomarkers and frataxin protein expression from ongoing Phase 1/2 trials.",Clinical Data,NCT05445323,Friedreich Ataxia Cardiomyopathy,Phase 1/2,False,,,Unclear,Primary endpoint was safety and tolerability; LX2006 was generally well tolerated with no serious adverse events grade 3 or higher and no signs of complement activation or significant liver enzyme elevations.,A Phase 1/2 Study of the Safety and Efficacy of LX2006 Gene Therapy in Participants With Cardiomyopathy Associated With Friedreich's Ataxia,PHASE1/PHASE2,8.0,"Friedreich Ataxia; Cardiomyopathy, Secondary",ACTIVE_NOT_RECRUITING,Lexeo Therapeutics,,2029-09,459.09,6.29,122.76,13.0,0.18,1.15,19.64,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
KYTX,2024-06-24,2.07,24.81,0.08,7.89,Gainer,KYV-101,"On June 14, 2024, Kyverna published an investor presentation that disclosed adverse data regarding one of its clinical trials, which led to a sharp decline in the company's stock price.",Clinical Data,NCT06193889,Generalized Myasthenia Gravis,Phase 2/3,True,"The Phase 3 portion is a randomized controlled trial comparing KYV-101 to standard of care with approximately 60 patients, designed to support FDA approval. KYV-101 received FDA Fast Track and Regenerative Medicine Advanced Therapy (RMAT) designations.",,Yes,"All 6 patients in the Phase 2 interim analysis achieved clinically meaningful reductions in MG-ADL (mean -8.0 points) and QMG (mean -7.7 points) at 24 weeks, with all patients achieving at least a 3-point reduction in both measures and clinically meaningful response on MGC scores (mean -12 points at 12 weeks).","KYSA-6: A Phase 2/3, Open-Label, Randomized, Controlled, Multicenter Study of KYV-101, an Autologous Fully Human Anti-CD19 Chimeric Antigen Receptor T-cell (CD19 CAR T) Therapy, Versus Ongoing Standard-Of-Care Immunosuppressive Therapy in Patients With Generalized Myasthenia Gravis",PHASE2/PHASE3,66.0,Myasthenia Gravis; Generalized Myasthenia Gravis,RECRUITING,Kyverna Therapeutics,RANDOMIZED,2027-09,457.78,7.68,171.14,13.0,0.09,0.78,29.6,strong_buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
KROS,2024-12-16,3.13,38.02,0.08,19.42,Gainer,elritercept,"Keros Therapeutics (KROS) presented clinical data from its elritercept Phase 2 trial in MDS and MF patients on or around December 2024, showing durable transfusion independence, fatigue improvements, spleen volume reductions, and good tolerability, with plans for Phase 3.[1][2]",Clinical Data,NCT06499285,Myelodysplastic Syndromes,Phase 2,False,,,Unclear,"Phase 2 trial showed durable increases in hemoglobin, improvements in platelets and neutrophils, decreases in ferritin and hepcidin, transfusion independence, fatigue improvements, and spleen volume reductions in lower-risk MDS patients.","A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Elritercept (KER-050) for the Treatment of Transfusion-Dependent Anemia in Adult Participants With Very Low-, Low-, or Intermediate-Risk Myelodysplastic Syndromes (MDS) (RENEW)",PHASE3,225.0,Myelodysplastic Syndromes,RECRUITING,Takeda,RANDOMIZED,2028-05-01,493.55,16.2,693.47,,0.14,0.67,23.0,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
SGMO,2024-08-15,-2.2,26.17,0.08,0.89,Loser,isaralgagene civaparvovec,"Sangamo Therapeutics (SGMO) announced on August 15, 2024, encouraging preliminary clinical data from the Phase 1/2 STAAR study of isaralgagene civaparvovec for Fabry disease, including improvements in kidney function (positive eGFR slope) and 17 patients successfully withdrawn from enzyme replacement therapy.[3]",Clinical Data,NCT04046224,Fabry disease,Phase 1/2,True,"FDA agreed that eGFR slope at 52 weeks can serve as an intermediate clinical endpoint to support Accelerated Approval, and the STAAR study data is being used as the basis for the rolling BLA submission without requiring an additional registrational study.",,Yes,"Statistically significant improvements in eGFR levels with positive annualized eGFR slope at one year, and sustained improvements in kidney and cardiac function over two years, with 17 patients successfully withdrawn from enzyme replacement therapy.","A Phase I/II, Multicenter, Open-Label, Single-Dose, Dose-Ranging Study to Assess the Safety and Tolerability of ST-920, an AAV2/6 Human Alpha Galactosidase A Gene Therapy, in Subjects With Fabry Disease (STAAR)",PHASE1/PHASE2,33.0,Fabry Disease,COMPLETED,Sangamo Therapeutics,NON_RANDOMIZED,2025-04-10,143.02,0.38,29.62,4.0,0.07,0.18,3.81,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
VSTM,2024-06-05,2.99,29.88,0.1,3.79,Gainer,avutometinib plus defactinib,"No clinical trial data or results for Verastem Oncology (VSTM) were announced on or around June 5, 2024; the closest was initial RAMP 201 results presented at ASCO in June 2024, with major updates like NDA acceptance based on RAMP 201 data occurring later in 2024.",Clinical Data,NCT06630260,"Glioblastoma Multiforme (GBM); Glioblastoma Multiform (Grade IV Astrocytoma); Diffuse Hemispheric Glioma, H3 G34-Mutant; Malignant Primary Gliomas",Phase 1/2,False,,,Unclear,"No clinical trial data or results for Verastem Oncology (VSTM) avutometinib plus defactinib were announced on or around June 5, 2024; the closest was initial RAMP 201 results presented at ASCO in June 2024 for recurrent low-grade serous ovarian cancer.",A Phase 1/2 Trial of the Doublet Combination of Avutometinib and Defactinib and as a Triplet in Combination With Temozolomide in Patients With High Grade Malignant Brain Tumours Within the 5G Platform,PHASE1/PHASE2,182.0,"Glioblastoma Multiforme (GBM); Glioblastoma Multiform (Grade IV Astrocytoma); Diffuse Hemispheric Glioma, H3 G34-Mutant; Malignant Primary Gliomas",RECRUITING,"Institute of Cancer Research, United Kingdom",NON_RANDOMIZED,2029-09-30,446.65,5.93,137.71,12.0,0.22,0.99,16.62,strong_buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
SAVA,2024-11-26,-10.93,11.34,0.96,3.83,Loser,simufilam,"Cassava Sciences (SAVA) announced on November 25, 2024, that topline results from the Phase 3 ReThink-ALZ study of simufilam in mild-to-moderate Alzheimer's disease did not meet co-primary endpoints (ADAS-COG12 and ADCS-ADL) or secondary and biomarker endpoints after 52 weeks.[1][2][3]",Clinical Data,NCT04994483,Alzheimer Disease,Phase 3,True,Phase 3 ReThink-ALZ study designed as a registrational trial for mild-to-moderate Alzheimer's disease.,,No,Failed to meet co-primary endpoints (ADAS-COG12 and ADCS-ADL) after 52 weeks.,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,,,True,True,Low,Low,Noise,Low,Low
BIOA,2024-12-26,-3.29,32.17,0.1,5.88,Loser,azelaprag,"BioAge Labs announced in December 2024 the discontinuation of the STRIDES Phase 2 clinical trial for azelaprag due to unexpected liver transaminitis observed in some patients, marking the key clinical data update around that time.[1][3][4]",Clinical Data,NCT06515418,Obesity,Phase 2,False,,,Unclear,Trial discontinued due to unexpected liver transaminitis in 11 of 204 patients on azelaprag; no efficacy data reported as primary endpoints of mean percent change in body weight at Week 24 not reached.,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-Arm Proof-of-Concept Study to Investigate Efficacy and Safety of Oral Azelaprag Plus Once Weekly Tirzepatide Compared with Tirzepatide Alone in Participants with Obesity Aged 55 Years and Over (STRIDES)",PHASE2,204.0,Obesity,TERMINATED,"BioAge Labs, Inc.",RANDOMIZED,2025-02-06,856.34,20.51,285.78,58.0,0.03,0.64,33.33,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
SAVA,2024-12-04,-11.94,111.66,0.11,2.95,Loser,Simufilam,"Cassava Sciences (SAVA) announced topline results from the Phase 3 RETHINK-ALZ trial for simufilam in Alzheimer's disease in November 2024, close to December 4, 2024, showing failure to meet primary endpoints but a favorable safety profile.[1][2][3]",Clinical Data,NCT04994483,Alzheimer Disease,Phase 3,True,Phase 3 registrational trial evaluating safety and efficacy in mild-to-moderate Alzheimer's disease,,No,Failed to meet co-primary endpoints of Alzheimer’s Disease Assessment Scale-Cognitive Subscale 12 and Alzheimer’s Disease Cooperative Study-Activities of Daily Living over 52 weeks.,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,,,True,True,Low,Low,Noise,Low,Low
QURE,2025-11-18,-2.04,21.83,0.09,29.71,Loser,AMT-130,"On November 18, 2025, the EHDN held a platform meeting discussing uniQure's topline results from the AMT-130 Phase I/II gene therapy trial for Huntington's disease, unpacking the outcomes following recent updates.[5]",Clinical Data,NCT04120493,Huntington's Disease,Phase 1/2,True,"Company expected to submit biologics license application (BLA) in Q1 2026 based on these results, with FDA alignment on using cUHDRS as intermediate clinical endpoint for accelerated approval",,Yes,"High-dose AMT-130 achieved 75% slowing of disease progression on the composite Unified Huntington's Disease Rating Scale (cUHDRS) compared with external controls (P=0.003), meeting the primary endpoint at 36 months","A Phase 1/2, Randomized, Double-Blind, Sham Control and Open-Label Study to Explore Safety, Tolerability, and Efficacy Signals of Multiple Doses of Striatally-Administered rAAV5-miHTT Total Huntingtin Gene (HTT) Lowering Therapy (AMT-130) in Early Manifest Huntington's Disease",PHASE1/PHASE2,43.0,Huntington's Disease,ACTIVE_NOT_RECRUITING,UniQure Biopharma B.V.,NON_RANDOMIZED,2029-06,1459.49,23.43,694.24,54.0,0.19,1.02,53.03,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
ZNTL,2024-07-03,-2.52,21.41,0.12,3.48,Loser,azenosertib,"No clinical trial data or results for ZNTL were announced on or around July 3, 2024; the closest updates were in Q2 2024 financials on August 9 and later in December 2024 for the DENALI trial showing ~35% ORR in Cyclin E1+ platinum-resistant ovarian cancer.",Clinical Data,NCT05128825,"High-Grade Serous Ovarian, Fallopian Tube or Primary Peritoneal Cancer",Phase 2,True,DENALI trial Part 2 is registration-intent with topline data expected by end of 2026[2][5],,Unclear,Ongoing Phase 2 DENALI Part 1b showed ~35% ORR and 6.3 months mDOR in Cyclin E1+ platinum-resistant ovarian cancer patients[2][5],"A Phase 2 Open-Label, Multicenter Study To Evaluate Efficacy And Safety Of ZN-c3 In Subjects With High-Grade Serous Ovarian, Fallopian Tube, Or Primary Peritoneal Cancer (DENALI / ZN-c3-005 / GOG-3066)",PHASE2,170.0,"High-Grade Serous Ovarian, Fallopian Tube or Primary Peritoneal Cancer",RECRUITING,"K-Group, Beta, Inc., a wholly owned subsidiary of Zentalis Pharmaceuticals, Inc",RANDOMIZED,2026-12-01,156.7,2.42,280.7,25.0,0.08,0.57,5.31,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
BIOA,2024-12-23,-3.26,32.4,0.1,5.94,Loser,azelaprag,"BioAge Labs (BIOA) announced on December 6, 2024, the discontinuation of its STRIDES Phase 2 clinical trial for azelaprag due to observed liver transaminitis in some patients, based on interim safety data from the ongoing study.[3][1][4]",Clinical Data,NCT06515418,Obesity,Phase 2,False,,,Unclear,"Trial discontinued prior to primary completion due to liver transaminitis in 11 of 204 participants in azelaprag arms, with no efficacy data reported.","A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-Arm Proof-of-Concept Study to Investigate Efficacy and Safety of Oral Azelaprag Plus Once Weekly Tirzepatide Compared with Tirzepatide Alone in Participants with Obesity Aged 55 Years and Over (STRIDES)",PHASE2,204.0,Obesity,TERMINATED,"BioAge Labs, Inc.",RANDOMIZED,2025-02-06,856.34,20.51,285.78,58.0,0.03,0.64,33.33,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
FULC,2024-09-20,-2.61,26.83,0.1,3.36,Loser,pociredir,"Fulcrum Therapeutics shared topline results for pociredir in September 2024, showing a mean increase of 8.6% in fetal hemoglobin and a 0.9 g/dL increase in total hemoglobin after 12 weeks of treatment in sickle cell disease patients.",Clinical Data,NCT07401823,Sickle Cell Disease,Phase 1b,False,,,Yes,"At week 12, all participants achieved increases in fetal hemoglobin (HbF), with a mean increase of 8.6% in the 12 mg dose cohort, and 44% of patients achieving HbF levels above 20%, a threshold associated with reduced vaso-occlusive crises.",An Open-Label Extension Study to Evaluate Long-Term Safety and Tolerability of Pociredir in Participants With Sickle Cell Disease (SCD) Who Have Participated in a Pociredir Study,PHASE2,50.0,Sickle Cell Disease,NOT_YET_RECRUITING,Fulcrum Therapeutics,,2030-02-04,725.67,11.0,200.64,40.0,0.08,1.05,19.1,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
SGMO,2024-08-19,-2.27,22.97,0.1,0.86,Loser,ST-920,"Sangamo Therapeutics announced updates from the Phase 1/2 STAAR trial for ST-920 (isaralgagene civaparvovec) in Fabry disease around mid-September 2024, noting that all 18 ERT patients were withdrawn from ERT and maintained normal alpha-Gal A activity levels as of that date.",Clinical Data,NCT04046224,Fabry Disease,Phase 1/2,True,"Sangamo initiated rolling BLA submission to FDA supported by STAAR data, with FDA agreement on eGFR slope as endpoint for accelerated approval pathway[1]",,Yes,"Met primary safety endpoint with excellent tolerability, no prophylactic steroids needed, and favorable profile allowing all ERT patients to discontinue therapy while maintaining benefits[1][2][3]","A Phase I/II, Multicenter, Open-Label, Single-Dose, Dose-Ranging Study to Assess the Safety and Tolerability of ST-920, an AAV2/6 Human Alpha Galactosidase A Gene Therapy, in Subjects With Fabry Disease (STAAR)",PHASE1/PHASE2,33.0,Fabry Disease,COMPLETED,Sangamo Therapeutics,NON_RANDOMIZED,2025-04-10,143.02,0.38,29.62,4.0,0.07,0.18,3.81,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
ANRO,2024-10-28,-3.43,33.51,0.1,4.22,Loser,ALTO-100,"Alto Neuroscience announced topline results from the Phase 2b trial of ALTO-100 for major depressive disorder on October 22, 2024, which did not achieve the primary outcome but showed positive findings in pre-specified secondary analyses and biomarker-stratified patients.[5][6][2]",Clinical Data,NCT06656416,major depressive disorder,Phase 2b,False,,,No,Did not meet primary endpoint of change from baseline in MADRS compared to placebo in biomarker-defined MDD patients.,"A Randomized, Double-Blind, Placebo-Controlled Study Followed by Open-Label Treatment of ALTO-100 in Adults With Bipolar Disorder Currently Experiencing a Major Depressive Episode",PHASE2,200.0,Bipolar Disorder I or II With a Major Depressive Episode,RECRUITING,Alto Neuroscience,RANDOMIZED,2026-08,547.39,17.62,137.82,31.0,0.08,0.79,31.25,strong_buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
TBIO,2024-09-16,-3.13,27.05,0.12,1.55,Loser,zelenectide pevedotin (BT8009) and BT5528,"Bicycle Therapeutics announced updated Phase 1/2 clinical results on September 16, 2024, for multiple oncology candidates including zelenectide pevedotin showing 45% ORR in metastatic urothelial cancer and BT7480 demonstrating a favorable safety profile in advanced solid tumors.",Clinical Data,NCT06225596,Metastatic Urothelial Cancer (mUC),Phase 1/2 and Phase 2/3,True,"The Phase 2/3 Duravelo-2 registrational trial is designed to evaluate zelenectide pevedotin plus pembrolizumab versus chemotherapy in first-line mUC, providing multiple opportunities for potential accelerated approval[1]",,Yes,"Updated Phase 1 combination data showed 60% overall response rate for zelenectide pevedotin plus pembrolizumab in first-line cisplatin-ineligible mUC patients, with a median duration of response of 11.1 months[4][5]",A Randomized Open-Label Phase 2/3 Study of BT8009 as Monotherapy or in Combination in Participants With Locally Advanced or Metastatic Urothelial Cancer (Duravelo-2),PHASE2/PHASE3,956.0,Metastatic Urothelial Cancer,RECRUITING,BicycleTx Limited,RANDOMIZED,2030-12,0.1,0.06,4.51,2.0,0.07,0.3,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
BIOA,2024-12-18,4.88,47.26,0.1,4.3,Gainer,azelaprag,"BioAge Labs (BIOA) announced on December 6, 2024, the discontinuation of its Phase 2 STRIDES trial for azelaprag due to elevated liver enzymes observed in 11 of 204 enrolled patients, with plans to analyze data and provide an update in Q1 2025.[1][2]",Clinical Data,NCT06515418,Obesity,Phase 2,False,,,Unclear,"Trial was discontinued in December 2024 due to liver transaminitis observed in 11 of 204 patients treated with azelaprag, before primary efficacy endpoints at Week 24 could be assessed.","A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-Arm Proof-of-Concept Study to Investigate Efficacy and Safety of Oral Azelaprag Plus Once Weekly Tirzepatide Compared with Tirzepatide Alone in Participants with Obesity Aged 55 Years and Over (STRIDES)",PHASE2,204.0,Obesity,TERMINATED,"BioAge Labs, Inc.",RANDOMIZED,2025-02-06,856.34,20.51,285.78,58.0,0.03,0.64,33.33,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
MIST,2025-04-10,3.73,39.17,0.1,0.75,Gainer,AP01 (inhaled pirfenidone),"No clinical trial data or results for the MIST trial (NCT06329401) were announced on or around April 10, 2025; available information includes only the trial protocol published in December 2025 and Avalyn Pharma's general pulmonary fibrosis program presentations at ATS 2025 on May 6, 2025.",Clinical Data,NCT06329401,Progressive Pulmonary Fibrosis,Phase 2b,True,"Phase 2b randomized, double-blind, placebo-controlled design (MIST study, NCT06329401) is a pivotal trial evaluating safety and efficacy of AP01 in progressive pulmonary fibrosis, positioned to support future regulatory approval",,Unclear,"No clinical trial results for the MIST trial were announced on or around April 10, 2025; the trial was ongoing as of the search results, with long-term data from the Phase 1b ATLAS extension study (up to 240 weeks) showing continued antifibrotic effects and favorable safety profile","A Randomized, Double-Blind, Placebo-Controlled, Phase 2b Study Evaluating the Safety and Efficacy of Pirfenidone Solution for Inhalation (AP01) in Participants With PPF",PHASE2,375.0,Progressive Pulmonary Fibrosis,RECRUITING,Avalyn Pharma Inc.,RANDOMIZED,2027-06,144.79,1.7,82.58,22.0,0.11,0.42,6.6,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
