feature_name,role,feature_group,data_type,source_columns,source_system,calculation_logic,plain_english_definition,why_it_matters,valid_count,null_count,valid_pct,null_pct,validity_rule,notes,stage,feature_type,description,source_type,n_valid,n_null,pct_valid
feat_ct_status_current,feature,CT.gov Timing,str,nct_id,CT.gov API v2,overallStatus from CT.gov study record at fetch time,"Current trial status as of CT.gov fetch (e.g., COMPLETED, RECRUITING)",Current status differs from historical status at event date; shows trial trajectory,784.0,43.0,94.8,,Non-empty string,Status at time of data pull,pre_event,deterministic,CT.gov overall status at time of data pull,CT.gov API v2,784.0,43.0,0.948
feat_status_timing_consistency_flag,feature,CT.gov Timing,int,"feat_ct_status_current,feat_ctgov_primary_completion_date",CT.gov API v2,"1 if status=COMPLETED and completion date is in the past, or status=RECRUITING and completion date in future",Flag: trial status is consistent with its completion date (sanity check),Inconsistency may signal data quality issue or unusual trial trajectory,773.0,54.0,93.5,,0 or 1,Useful as data-quality filter,pre_event,deterministic,Binary flag: CT.gov status is consistent with its completion date,CT.gov API v2,773.0,54.0,0.935
feat_ctgov_n_active_trials_sponsor,feature,CT.gov Pipeline Proxy,float,ct_sponsor,CT.gov API v2,Count of RECRUITING/ACTIVE_NOT_RECRUITING/ENROLLING_BY_INVITATION/NOT_YET_RECRUITING interventional trials (up to 100),Number of active interventional trials for this sponsor on CT.gov,Active pipeline size signals company stage and resources,784.0,43.0,94.8,,>= 0,Capped at 100 per query; large sponsors may be underestimated,pre_event,deterministic,Count of active/recruiting interventional CT.gov trials for sponsor,CT.gov API v2 (query.spons),784.0,43.0,0.948
feat_ctgov_n_late_stage_trials_sponsor,feature,CT.gov Pipeline Proxy,float,ct_sponsor,CT.gov API v2,"Count of Phase 2, 3, 4, 2/3, 3/4 interventional trials for sponsor",Number of late-stage (Phase 2+) trials for this sponsor,Late-stage trial depth correlates with development experience and probability of sophisticated trial design,784.0,43.0,94.8,,>= 0,Any status included,pre_event,deterministic,Count of Phase 2+ interventional trials on CT.gov for sponsor,CT.gov API v2 (query.spons),784.0,43.0,0.948
feat_ctgov_n_completed_trials_sponsor,feature,CT.gov Pipeline Proxy,float,ct_sponsor,CT.gov API v2,Count of COMPLETED interventional trials for sponsor,Number of completed interventional trials for this sponsor,Completion rate is a proxy for execution track record,784.0,43.0,94.8,,>= 0,Any phase,pre_event,deterministic,Count of completed interventional CT.gov trials for sponsor,CT.gov API v2 (query.spons),784.0,43.0,0.948
feat_ctgov_n_trials_total_sponsor,feature,CT.gov Pipeline Proxy,float,ct_sponsor,CT.gov API v2,"Total interventional trials for sponsor (any status/phase, totalCount from CT.gov)",Total count of interventional CT.gov trials for this sponsor,Total pipeline size — basis for maturity score denominator,784.0,43.0,94.8,,>= 0,Uses CT.gov totalCount; large pharma sponsors (Novartis=2711) will inflate mean,pre_event,deterministic,Total interventional trials on CT.gov for sponsor (any status),CT.gov API v2 (query.spons),784.0,43.0,0.948
feat_ctgov_pipeline_maturity_score,feature,CT.gov Pipeline Proxy,float,"feat_ctgov_n_late_stage_trials_sponsor,feat_ctgov_n_active_trials_sponsor,feat_ctgov_n_trials_total_sponsor",derived,"(n_late + 0.5 * n_active) / sqrt(min(n_total,100) + 1)","Sponsor pipeline maturity: weighted late-stage + active trials, scaled by total pipeline size (capped at 100)",Captures both depth (late-stage proportion) and breadth (active trials) in one score; higher = more mature pipeline,784.0,43.0,94.8,,>= 0,n_sample used for denominator to avoid large-pharma distortion,pre_event,deterministic,Composite sponsor pipeline maturity: (late + 0.5*active)/sqrt(n_sample+1),derived,784.0,43.0,0.948
feat_ctgov_n_trials_same_intervention,feature,CT.gov Pipeline Proxy,float,drug_name,CT.gov API v2,"Count of all interventional trials mentioning the same drug (query.intr, totalCount)",Number of CT.gov trials that include the same drug/intervention,Widely-studied assets have richer clinical evidence base; affects regulatory probability,820.0,7.0,99.2,,>= 0,Drug name normalised before query; common drug names (aspirin) return 30k+,pre_event,deterministic,Count of all CT.gov interventional trials for same drug/intervention,CT.gov API v2 (query.intr),820.0,7.0,0.992
feat_ctgov_n_late_stage_trials_same_intervention,feature,CT.gov Pipeline Proxy,float,drug_name,CT.gov API v2,Count of Phase 2/3+ interventional trials for same drug (from sample up to 100),Number of late-stage (Phase 2+) CT.gov trials for this drug,Drug assets with late-stage history are more likely to have established efficacy signals,820.0,7.0,99.2,,>= 0,Based on sample of up to 100 most relevant results,pre_event,deterministic,Count of Phase 2+ CT.gov trials for same drug,CT.gov API v2 (query.intr),820.0,7.0,0.992
feat_ctgov_asset_maturity_score,feature,CT.gov Pipeline Proxy,float,"feat_ctgov_n_late_stage_trials_same_intervention,feat_ctgov_n_trials_same_intervention",derived,"n_late_stage_drug / sqrt(min(n_total_drug,100) + 1)","Drug asset maturity: fraction of trials that are late-stage, scaled by total trials (capped)",Mature assets (high late-stage/total ratio) have de-risked development history,820.0,7.0,99.2,,>= 0,0 for novel assets with no prior trials,pre_event,deterministic,"Composite drug asset maturity: late_stage_drug / sqrt(min(total_drug,100)+1)",derived,820.0,7.0,0.992
