ticker,event_date,event_type,move_pct,price_at_event,catalyst_type,catalyst_summary,drug_name,nct_id,indication,phase,is_pivotal,pivotal_evidence,press_release_url,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,cash_runway_months,short_percent,institutional_ownership,analyst_target,analyst_rating,data_quality_score,errors,timestamp,data_quality_threshold_passed,is_valid_date,atr_pct,normalized_move,move_magnitude,move_class
SRPT,2025-07-18,Loser,-35.91,14.08,Clinical Data,"Sarepta Therapeutics' stock dropped 35.9% on July 18, 2025, after reporting the death of a third patient in June 2025 during a clinical trial of investigational gene therapy SRP-9004 for limb-girdle muscular dystrophy, prompting the FDA to place Sarepta's limb-girdle muscular dystrophy trials on clinical hold and request halting all ELEVIDYS shipments.",SRP-9004,NCT06747273,limb-girdle muscular dystrophy,Phase 2,False,,,,,"A Phase 1b, Multicenter, Single Dose Gene Transfer Study to Evaluate the Safety, Tolerability, and Efficacy of SRP-9004 Administered by Systemic Infusion in Limb Girdle Muscular Dystrophy Type 2D/R3 Subjects in the United States",PHASE1,4.0,Limb Girdle Muscular Dystrophy; Limb Girdle Muscular Dystrophy Type 2D/R3,TERMINATED,"Sarepta Therapeutics, Inc.",,2025-06-18,2200.0,21.02,850.99,41.0,0.25,0.88,33.68,Hold,0.91,Missing financials: cash_position_m,2026-01-21T14:59:39.848224,True,True,5.81,6.18,High,High
SGMO,2024-02-15,Gainer,40.0,1.05,Clinical Data,"Sangamo Therapeutics and Pfizer announced positive Phase III data for giroctocogene fitelparvovec, a hemophilia A gene therapy, which met its primary objective and showed superiority in key secondary endpoints compared to prophylaxis.",giroctocogene fitelparvovec,NCT05568719,Hemophilia A,Phase 3,True,"Phase III succeeded with ABR (annualized bleeding rate) that looks competitive/better vs BMRN, indicating registrational potential",,Yes,,"A PHASE 3, NON-INVESTIGATIONAL PRODUCT, MULTI COUNTRY COHORT STUDY TO DESCRIBE THE LONG-TERM SAFETY AND EFFECTIVENESS OF A PRIOR SINGLE-DOSE TREATMENT WITH INVESTIGATIVE GIROCTOCOGENE FITELPARVOVEC OR FIDANACOGENE ELAPARVOVEC IN PARTICIPANTS WITH HEMOPHILIA A OR HEMOPHILIA B, RESPECTIVELY",PHASE3,263.0,Hemophilia A; Hemophilia B,RECRUITING,Pfizer,NON_RANDOMIZED,2040-02-25,135.0,0.4,29.6,,,,,,0.91,Financial fetch error: Extra data: line 13 column 1 (char 238); Event older than 730 days: 2024-02-15; Event older than 730 days: 2024-02-15; Event older than 730 days: 2024-02-15,2026-01-21T14:56:12.085346,True,False,12.37,3.23,High,High
MLYS,2025-03-10,Gainer,42.21,14.96,Clinical Data,"Mineralys announced topline data from its Launch-HTN and Advance-HTN pivotal trials for lorundrostat on March 10, 2025, demonstrating positive results for resistant hypertension treatment.",lorundrostat,NCT06150924,Resistant hypertension,Phase 3,True,Launch-HTN and Advance-HTN pivotal trials,,Unclear,,"A Randomized, Crossover, Double Blind, Placebo Controlled, Phase 2 Study to Evaluate the Efficacy and Safety of Lorundrostat in Addition to Sodium-Glucose Cotransporter-2 Inhibitors, in Adults With Hypertension and Chronic Kidney Disease With Albuminuria",PHASE2,60.0,Chronic Kidney Disease,COMPLETED,Mineralys Therapeutics Inc.,RANDOMIZED,2025-02-27,285.4,5.23,182.5,18.0,12.4,68.7,8.5,Buy,0.91,,2026-01-21T14:53:58.287513,True,True,7.63,5.53,High,High
NKTR,2025-07-14,Loser,-2.4,24.41,Clinical Data,"Nektar Therapeutics (NKTR) announced positive 52-week Phase 2b REZOLVE-AD data for rezpegaldesleukin in atopic dermatitis in July 2025, showing durable efficacy with up to 83% of high-dose patients maintaining EASI-75 responses and a consistent safety profile.[1]",rezpegaldesleukin,NCT06136741,moderate to severe atopic dermatitis,Phase 2b,False,,,Yes,Achieved statistical significance on the primary endpoint of mean improvement in EASI from baseline at week 16.,"A Phase 2b, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Rezpegaldesleukin in the Treatment of Adult Patients With Moderate-to-Severe Atopic Dermatitis (REZOLVE-AD)",PHASE2,396.0,Moderate to Severe Atopic Dermatitis,ACTIVE_NOT_RECRUITING,Nektar Therapeutics,RANDOMIZED,2025-05-06,2062.93,73.73,270.21,17.0,0.16,0.64,123.43,strong_buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,18.82,0.13,Low,Low
KALA,2025-10-07,Gainer,7.89,1.64,Clinical Data,"KALA BIO announced that its CHASE Phase 2b trial of KPI-012 for persistent corneal epithelial defect (PCED) failed to meet its primary endpoint and key secondary efficacy endpoints, leading the company to discontinue development of the drug.",KPI-012,NCT05727878,Persistent Corneal Epithelial Defect (PCED),Phase 2b,False,,,No,"The trial did not meet its primary endpoint of complete healing of PCED at Week 8, and failed to achieve statistical significance for key secondary efficacy endpoints, showing no meaningful difference between KPI-012 treatment arms and placebo.[1][2]",A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,175.28,0.05,Low,Low
MGNX,2024-05-10,Loser,-77.44,3.31,Clinical Data,"MacroGenics disclosed on May 10, 2024, that 5 patients in the Phase 2 TAMARACK study of vobra duo for metastatic castration-resistant prostate cancer had died, raising serious safety concerns and causing the stock to crash 77%.",vobra duo,NCT05362773,metastatic castration-resistant prostate cancer (mCRPC),Phase 2,False,,,,,"A Phase 1, First-in-Human, Dose Escalation Study of MGD024, a CD123 x CD3 Bispecific DART Molecule, in Patients With Select Relapsed or Refractory Hematologic Malignancies",PHASE1,130.0,"Leukemia, Acute Myeloid; Myelodysplastic Syndromes; Classical Hodgkin Lymphoma; Leukemia, B-cell; Leukemia, Hairy Cell; Mastocytosis, Aggressive Systemic; Blastic Plasmacytoid Dendritic Cell Neoplasm; Chronic Myeloid Leukemia",RECRUITING,MacroGenics,,2026-11,152.83,2.46,200.36,,,,,,0.91,,2026-01-21T14:44:45.524027,True,True,7.54,10.27,High,High
AGIO,2025-11-19,Loser,-50.89,22.34,Clinical Data,"Agios Pharmaceuticals' stock plunged over 50% on November 19, 2025, after mixed Phase 3 RISE UP trial results for mitapivat in sickle cell disease, where the primary endpoint of hemoglobin response was met but it failed to show a meaningful reduction in pain crises.[1][2][3]",mitapivat,NCT05144256,sickle cell disease,Phase 3,True,pivotal RISE UP Phase 3 trial[2][3],,Yes,,"A Phase 3, Multicenter, Randomized, Double-blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Mitapivat in Pediatric Subjects With Pyruvate Kinase Deficiency Who Are Regularly Transfused, Followed by a 5-Year Open-label Extension Period",PHASE3,49.0,Pediatric Pyruvate Kinase Deficiency; Pediatric Hemolytic Anemia,ACTIVE_NOT_RECRUITING,"Agios Pharmaceuticals, Inc.",RANDOMIZED,2024-05-03,1638.24,27.96,854.43,27.0,0.12,1.07,38.12,buy,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T14:49:54.829670,True,True,4.82,10.56,High,High
ANRO,2024-11-01,Gainer,2.31,3.98,Clinical Data,"Alto Neuroscience (ANRO) reported topline results from the Phase 2b trial of ALTO-100 for major depressive disorder in October 2024, which did not meet the primary endpoint of statistically significant improvement in the biomarker-positive group but showed positive signals in adjunctive use and favorable safety.",ALTO-100,NCT06656416,major depressive disorder,Phase 2b,False,,,No,Did not meet primary endpoint of statistically significant change from baseline in MADRS compared to placebo in the biomarker-positive group.,"A Randomized, Double-Blind, Placebo-Controlled Study Followed by Open-Label Treatment of ALTO-100 in Adults With Bipolar Disorder Currently Experiencing a Major Depressive Episode",PHASE2,200.0,Bipolar Disorder I or II With a Major Depressive Episode,RECRUITING,Alto Neuroscience,RANDOMIZED,2026-08,547.39,17.62,137.82,31.0,0.08,0.79,31.25,strong_buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,34.53,0.07,Low,Low
ATRA,2024-02-12,Gainer,2.07,20.92,Clinical Data,"Multiple ATRA-based clinical trial results were announced in early 2024, including ATRA/ATO regimen data for high-risk APL presented at the 2024 EHA Congress showing 88% event-free survival at 2 years.",ATRA,NCT04241276,Pancreatic Cancer,Phase 2,False,,,Unclear,"No results available as of early 2024; phase II trial protocol proposes testing GEM-NABP + ATRA to extend progression-free survival in locally advanced PDAC, building on phase IB safety data showing no excess toxicity and suggested efficacy with tumor shrinkage.[1][6][7]",Phase IIb Randomised Clinical Trial Repurposing ATRA as a Stromal Targeting Agent in a Novel Drug Combination for Pancreatic Cancer,PHASE2,170.0,Pancreatic Cancer,ACTIVE_NOT_RECRUITING,Queen Mary University of London,RANDOMIZED,2028-06-29,30.14,4.18,13.71,2.0,0.05,0.48,8.67,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m; Event older than 730 days: 2024-02-12",,True,False,19.44,0.11,Low,Low
ATRA,2025-01-16,Loser,-40.5,7.83,Clinical Data,"Atara Biotherapeutics announced on January 16, 2025, that its Phase II EMBOLD study of ATA188 for non-active progressive multiple sclerosis failed to meet the primary endpoint of confirmed disability improvement using the EDSS at 12 months, with no supporting evidence from fluid or imaging biomarkers.",ATA188,NCT03283826,non-active progressive multiple sclerosis,Phase 2,False,,,No,,"A Phase 1/2, Two-part, Open-label Dose-escalation and Double-blind, Placebo-controlled Dose-expansion Study With an Open-label Extension to Evaluate the Safety and Efficacy of ATA188 in Subjects With Progressive Multiple Sclerosis",PHASE1/PHASE2,134.0,Primary Progressive Multiple Sclerosis; Secondary Progressive Multiple Sclerosis,TERMINATED,Atara Biotherapeutics,RANDOMIZED,2023-11-09,32.09,4.45,13.71,2.0,0.05,0.47,8.67,hold,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T14:55:46.853251,True,True,17.14,2.36,Medium,High
ANAB,2024-12-11,Loser,-32.83,15.51,Clinical Data,"AnaptysBio announced on December 11, 2024, that its Phase 2b ARISE-AD trial of ANB032, a BTLA agonist, failed to meet primary and secondary efficacy endpoints in moderate-to-severe atopic dermatitis due to higher-than-expected placebo response rates, leading to discontinuation of the program and a 32.8% stock drop.[1][2]",ANB032,NCT05935085,moderate-to-severe atopic dermatitis (eczema),Phase 2,False,,,No,,"A Phase 2, Randomized, Double Blind, Placebo Controlled Study to Evaluate the Efficacy and Safety of ANB032 in the Treatment of Subjects with Moderate to Severe Atopic Dermatitis",PHASE2,201.0,Atopic Dermatitis Eczema,TERMINATED,"AnaptysBio, Inc.",RANDOMIZED,2024-10-16,1484.81,53.08,248.96,20.0,0.39,1.05,67.92,strong_buy,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T15:02:40.210539,True,True,9.12,3.6,High,High
KALA,2025-02-12,Loser,-31.62,7.44,Clinical Data,"Kala Bio's KPI-012 failed to meet its primary endpoint of complete healing of persistent corneal epithelial defect (PCED) at week 8 in the Phase 2b CHASE trial, with no meaningful difference between treatment and placebo arms, leading the company to cease development of the drug and its MSC-S platform.",KPI-012,NCT05727878,Persistent Corneal Epithelial Defect (PCED),Phase 2/3,True,Potential for CHASE to serve as a pivotal trial in support of a Biologics License Application (BLA) submission,,No,No meaningful difference between KPI-012 treatment arm and placebo arm; secondary endpoints did not achieve statistical significance,A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,30.7,0.41,21.1,7.0,0.03,56.43,,none,0.91,"Missing financials: current_price, cash_position_m",2026-01-21T15:05:23.737348,True,True,7.26,4.36,High,High
VYNE,2025-08-07,Gainer,3.29,0.38,Clinical Data,"VYNE Therapeutics announced topline results from its Phase 2b trial of repibresib gel in nonsegmental vitiligo in July 2025, which missed primary and key secondary endpoints, leading to trial termination.[1][2][5]",repibresib gel,,nonsegmental vitiligo,Phase 2b,False,,,No,Failed to meet primary endpoint of F-VASI50 (proportion achieving ≥50% improvement in Facial Vitiligo Area Scoring Index) at week 24 compared to vehicle.,,,,,,,,,19.8,0.59,32.7,10.0,0.02,0.27,2.0,none,0.55,"Missing financials: market_cap_m, current_price, cash_position_m",,False,True,55.54,0.06,Low,Low
ENTA,2025-09-29,Gainer,91.9,15.16,Clinical Data,"Enanta Pharmaceuticals announced topline results from its Phase 2b RSVHR trial of zelicapavir for RSV in high-risk adults, missing the primary endpoint but showing enough positive results to advance to larger studies, driving a 91.9% stock surge to $15.16.",zelicapavir,NCT06601192,respiratory syncytial virus (RSV) in high-risk adults,Phase 2,False,,,No,,"Phase 1, Randomized, Double-Blind Four-Period Crossover, Thorough QT/QTc Study to Evaluate the Effects of EDP-938 on Cardiac Repolarization in Healthy Adults",PHASE1,72.0,RSV Infection; QTc Interval,COMPLETED,"Enanta Pharmaceuticals, Inc",RANDOMIZED,2025-02-02,401.92,13.85,185.85,157.0,0.09,0.84,20.25,buy,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T14:42:43.160151,True,True,6.89,13.34,High,High
UTHR,2025-09-02,Gainer,32.83,404.81,Clinical Data,"United Therapeutics' stock surged 33.07% on September 2, 2025, following positive Phase 3 clinical results from the Tyvaso study in Idiopathic Pulmonary Fibrosis, which prompted UBS to raise its price target from $385 to $415 and reinstate a Buy rating.",Tyvaso,NCT00643604,Idiopathic Pulmonary Fibrosis,Phase 3,True,Described as 'promising results from the Tyvaso Phase 3 study' that strengthened United Therapeutics' position and drove analyst confidence for regulatory advancement,,Unclear,,"Rapid Switch From Intravenous Epoprostenol to Intravenous Remodulin® (Treprostinil Sodium) in Patients With Stable Pulmonary Arterial Hypertension in the Outpatient Clinic: Safety, Efficacy and Treatment Satisfaction",PHASE4,7.0,"Hypertension, Pulmonary",TERMINATED,United Therapeutics,NON_RANDOMIZED,2010-01,1250.0,78.5,320.0,18.0,4.2,89.5,92.0,Buy,0.91,Financial fetch error: Extra data: line 10 column 2 (char 239),2026-01-21T15:02:35.871509,True,True,2.27,14.46,High,High
RAPT,2024-03-04,Loser,-3.45,69.36,Clinical Data,"RAPT Therapeutics and Shanghai Jeyou Pharmaceutical announced positive topline data from a Phase 2 trial of RPT904 (JYB1904) in chronic spontaneous urticaria on April 9, 2024, showing comparable efficacy and safety to omalizumab with sustained effects at Week 16, but no announcements occurred on or around March 4, 2024.[1]",RPT904,NCT07220811,IgE-mediated food allergy,Phase 2b,False,,,Unclear,"Primary endpoint is the proportion of participants achieving a prespecified target threshold at a double-blind, placebo-controlled oral food challenge (DBPCFC) at Week 24; trial initiated but no topline results reported.","Phase 2b Randomized, Double-Blind, Placebo-Controlled Study of RPT904 as Monotherapy in Participants With IgE-Mediated Food Allergy",PHASE2,100.0,Ig-E Mediated Food Allergy,RECRUITING,"RAPT Therapeutics, Inc.",RANDOMIZED,2027-04,1677.4,57.92,157.34,21.0,0.12,1.1,58.0,hold,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,28.4,0.12,Low,Low
ALNY,2024-06-24,Gainer,34.52,222.9,Clinical Data,"Alnylam Pharmaceuticals reported positive Phase III HELIOS-B trial results for vutrisiran in ATTR amyloidosis with cardiomyopathy, achieving a 28% reduction in all-cause mortality and recurrent cardiovascular events in the overall population and 33% reduction in monotherapy populations, with statistically significant improvements across all secondary endpoints.",vutrisiran,NCT04153149,ATTR amyloidosis with cardiomyopathy (ATTR-CM),Phase 3,True,"Alnylam plans to proceed with global regulatory submissions starting later this year, including filing a supplemental New Drug Application with the FDA using a Priority Review Voucher.",,Yes,28% reduction in composite of all-cause mortality and recurrent cardiovascular events (overall population); 33% reduction in monotherapy populations,"HELIOS-B: A Phase 3, Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Efficacy and Safety of Vutrisiran in Patients With Transthyretin Amyloidosis With Cardiomyopathy (ATTR Amyloidosis With Cardiomyopathy)",PHASE3,655.0,Transthyretin Amyloidosis (ATTR) With Cardiomyopathy,ACTIVE_NOT_RECRUITING,Alnylam Pharmaceuticals,RANDOMIZED,2024-05-08,41696.71,314.4,2908.48,,0.05,1.03,459.4,buy,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T15:00:35.028987,True,True,2.91,11.86,High,High
TBIO,2024-09-16,Loser,-3.13,1.55,Clinical Data,"Bicycle Therapeutics announced updated Phase 1/2 clinical results on September 16, 2024, for multiple oncology candidates including zelenectide pevedotin showing 45% ORR in metastatic urothelial cancer and BT7480 demonstrating a favorable safety profile in advanced solid tumors.",zelenectide pevedotin (BT8009) and BT5528,NCT06225596,Metastatic Urothelial Cancer (mUC),Phase 1/2 and Phase 2/3,True,"The Phase 2/3 Duravelo-2 registrational trial is designed to evaluate zelenectide pevedotin plus pembrolizumab versus chemotherapy in first-line mUC, providing multiple opportunities for potential accelerated approval[1]",,Yes,"Updated Phase 1 combination data showed 60% overall response rate for zelenectide pevedotin plus pembrolizumab in first-line cisplatin-ineligible mUC patients, with a median duration of response of 11.1 months[4][5]",A Randomized Open-Label Phase 2/3 Study of BT8009 as Monotherapy or in Combination in Participants With Locally Advanced or Metastatic Urothelial Cancer (Duravelo-2),PHASE2/PHASE3,956.0,Metastatic Urothelial Cancer,RECRUITING,BicycleTx Limited,RANDOMIZED,2030-12,0.1,0.06,4.51,2.0,0.07,0.3,,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,27.05,0.12,Low,Low
CTMX,2024-05-14,Gainer,2.65,1.94,Clinical Data,"CytomX Therapeutics (CTMX) announced positive initial Phase 1a dose escalation data for CX-904 on or around May 14, 2024, showing a 33% confirmed partial response rate and 100% disease control rate in 6 advanced pancreatic cancer patients with a favorable safety profile as of April 16, 2024 data cutoff.[2][3]",CX-904,NCT05387265,advanced pancreatic cancer,Phase 1,False,,,Unclear,"Phase 1a dose escalation trial showed 33% confirmed partial response rate and 100% disease control rate in 6 advanced pancreatic cancer patients with favorable safety profile as of April 16, 2024 data cutoff.","A Phase 1/1b, Open-label, Dose-finding, First-in-human Study to Evaluate the Safety and Antitumor Activity of CX-904, an EGFR-targeted T-cell Engager in Advanced Solid Tumors (CTMX-904-101)",PHASE1,83.0,Solid Tumors,TERMINATED,CytomX Therapeutics,,2025-06-04,920.03,5.43,143.63,23.0,0.09,0.92,9.0,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,36.89,0.07,Low,Low
KROS,2024-12-12,Loser,-73.15,18.43,Clinical Data,"Keros Therapeutics halted dosing in the 3.0 mg/kg and 4.5 mg/kg treatment arms of its Phase 2 TROPOS trial of cibotercept for pulmonary arterial hypertension on December 12, 2024, after identifying unexpected adverse events including pericardial effusion (fluid buildup around the heart), causing the stock to lose 73% of its value.",cibotercept (KER-012),NCT05975905,Pulmonary Arterial Hypertension (PAH),Phase 2,False,,,,,"A Randomized, Phase 2, Double-blind, Placebo-controlled Study to Investigate the Safety and Efficacy of KER-012 in Combination With Background Therapy in Adult Participants With Pulmonary Arterial Hypertension (TROPOS Study)",PHASE2,113.0,Pulmonary Arterial Hypertension,COMPLETED,"Keros Therapeutics, Inc.",RANDOMIZED,2025-03-05,505.13,16.58,693.47,,0.14,0.96,23.0,buy,0.91,Financial fetch error: Expecting value: line 1 column 1 (char 0),2026-01-21T14:45:28.783821,True,True,5.35,13.67,High,High
SION,2025-10-21,Gainer,31.99,42.5,Clinical Data,"Sionna Therapeutics initiated its PreciSION CF Phase 2a proof-of-concept trial evaluating SION-719, an NBD1 stabilizer, in combination with standard cystic fibrosis treatment Trikafta, marking the first clinical evaluation of an NBD1 stabilizer in cystic fibrosis patients.",SION-719,NCT07108153,Cystic Fibrosis,Phase 2,False,,,Unclear,,"A Phase 2a Randomized, Double-blind, Placebo-controlled Proof-of-concept Study to Evaluate the Safety, Tolerability, Pharmacodynamics, and Pharmacokinetics of SION-719 When Added to Physician-prescribed Trikafta® in People With Cystic Fibrosis Who Are Homozygous for the F508del Mutation",PHASE2,16.0,Cystic Fibrosis (CF),RECRUITING,Sionna Therapeutics Inc.,RANDOMIZED,2026-07,245.3,1.85,78.4,18.0,12.4,34.7,5.2,Buy,0.91,Financial fetch error: Expecting value: line 1 column 1 (char 0),2026-01-21T15:04:33.412614,True,True,6.83,4.68,High,High
SRPT,2025-11-04,Loser,-33.74,16.2,Clinical Data,"Sarepta Therapeutics' Phase 3 ESSENCE study for DMD therapies Amondys 45 (casimersen) and Vyondys 53 (golodirsen) failed to meet its primary endpoint of stair-climbing speed improvement, showing only a 0.05 steps per second difference versus placebo after 96 weeks, causing the stock to plummet over 33% on November 4, 2025.",Amondys 45 (casimersen) and Vyondys 53 (golodirsen),NCT04179409,Duchenne Muscular Dystrophy (DMD),Phase 3,True,"Phase 3 ESSENCE study, which tested Amondys 45 and Vyondys 53, showed only numerical improvements compared with a placebo and did not reach 'statistical significance' on the key measure of stair-climbing speed after 96 weeks.",,No,0.05 steps per second difference versus placebo on stair-climbing speed after 96 weeks,"A 48-Week, Open Label, Study to Evaluate the Efficacy and Safety of AMONDYS 45, EXONDYS 51, VYONDYS 53 in Subjects With DuchenneMuscular Dystrophy Carrying Eligible DMD Duplications.",PHASE2,3.0,Duchenne Muscular Dystrophy,COMPLETED,Kevin Flanigan,NON_RANDOMIZED,2021-09-01,2200.0,21.02,850.99,41.0,0.25,0.88,33.68,Hold,0.91,Missing financials: cash_position_m,2026-01-21T15:01:30.602972,True,True,5.04,6.69,High,High
RAPT,2025-05-23,Gainer,43.36,9.84,Clinical Data,RAPT Therapeutics announced positive Phase 2 trial results for ozureprubart showing comparable efficacy and safety to omalizumab at both Q8W and Q12W dosing in chronic spontaneous urticaria.,ozureprubart,NCT07220811,Chronic spontaneous urticaria,Phase 2,False,,,Yes,Comparable efficacy and safety to omalizumab at Q4W dosing,"Phase 2b Randomized, Double-Blind, Placebo-Controlled Study of RPT904 as Monotherapy in Participants With IgE-Mediated Food Allergy",PHASE2,100.0,Ig-E Mediated Food Allergy,RECRUITING,"RAPT Therapeutics, Inc.",RANDOMIZED,2027-04,1671.6,57.72,157.34,21.0,0.12,0.77,58.0,hold,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T14:53:06.854222,True,True,10.97,3.95,High,High
PCVX,2024-09-03,Gainer,36.39,110.15,Clinical Data,"Vaxcyte announced positive topline results from the Phase 1/2 study of VAX-31, its 31-valent pneumococcal conjugate vaccine candidate, in adults aged 50 and older, driving a 36.4% stock surge on September 3, 2024.",VAX-31,NCT06720038,Pneumococcal disease,Phase 1/2,False,,https://www.stocktitan.net/news/PCVX/vaxcyte-to-host-webcast-and-conference-call-to-present-topline-0ugvt0hm2lum.html,Yes,,"A Phase 2, Randomized, Double-Blind, Active-Controlled, Dose-Finding Clinical Study to Evaluate the Safety, Tolerability, and Immunogenicity of VAX-31 in Healthy Infants Given 4 Doses at 2, 4, 6, and 12-15 Months of Age Concomitantly With Routine Pediatric Vaccines",PHASE2,900.0,Pneumococcal Vaccines,RECRUITING,"Vaxcyte, Inc.",RANDOMIZED,2027-12,7766.39,54.1,1711.32,37.0,0.1,1.03,102.11,strong_buy,1.0,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T14:58:56.637459,True,True,2.51,14.5,High,High
KALA,2025-10-15,Loser,-6.62,1.41,Clinical Data,"No clinical trial data or results for KALA were announced on or around 2025-10-15; topline results from the CHASE Phase 2b trial of KPI-012 were announced later, showing failure to meet the primary endpoint, leading to discontinuation.[1][2]",KPI-012,NCT05727878,Persistent Corneal Epithelial Defect (PCED),Phase 2b,True,The CHASE trial was designed as a pivotal study that could support a Biologics License Application (BLA) to the FDA if results were positive[1][2],,No,"KPI-012 failed to meet its primary endpoint and did not show statistical significance in key secondary efficacy endpoints, leading to discontinuation of the program[4]",A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,122.94,0.05,Low,Low
ALT,2025-06-26,Loser,-53.18,3.61,Clinical Data,"Altimmune announced topline results from its IMPACT Phase 2b trial of pemvidutide for MASH treatment on June 26, 2025, which met the primary endpoint of MASH resolution but failed to achieve statistical significance in the secondary fibrosis reduction endpoint, citing higher-than-expected placebo response.",Pemvidutide,NCT06987513,Metabolic dysfunction-associated steatohepatitis (MASH),Phase 2/3,True,The trial was referred to as the IMPACT Phase 2b trial with potential for accelerated approval conditional on Phase 3 outcomes,,No,Failed to achieve statistical significance in fibrosis reduction endpoint; higher-than-expected placebo response cited,"RECLAIM STUDY: A Phase 2, Multicenter, Randomized, Double-blind, Placebo-controlled Study Evaluating the Efficacy and Safety of Pemvidutide in the Treatment of Alcohol Use Disorder (AUD) in Subjects With Obesity or Overweight",PHASE2,100.0,Alcohol Use Disorder (AUD),ACTIVE_NOT_RECRUITING,"Altimmune, Inc.",RANDOMIZED,2026-05,567.3,4.53,210.78,38.0,0.19,0.49,17.67,buy,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T14:48:57.857806,True,True,7.67,6.93,High,High
MGNX,2024-08-08,Gainer,2.07,3.45,Clinical Data,"On July 31, 2024, MacroGenics announced halting the Phase 2 trial of vobra duo for prostate cancer due to fatal adverse events, with prior safety disclosures on May 10, 2024, around the queried date of August 8.",vobra duo,NCT05362773,Metastatic castration-resistant prostate cancer (mCRPC),Phase 2,False,,,Unclear,"Trial halted on July 31, 2024, due to fatal adverse events (five patient deaths disclosed May 10, 2024); primary endpoint data (6-month radiographic progression-free survival) was presented at ESMO in September 2024 but trial was discontinued before completion.","A Phase 1, First-in-Human, Dose Escalation Study of MGD024, a CD123 x CD3 Bispecific DART Molecule, in Patients With Select Relapsed or Refractory Hematologic Malignancies",PHASE1,130.0,"Leukemia, Acute Myeloid; Myelodysplastic Syndromes; Classical Hodgkin Lymphoma; Leukemia, B-cell; Leukemia, Hairy Cell; Mastocytosis, Aggressive Systemic; Blastic Plasmacytoid Dendritic Cell Neoplasm; Chronic Myeloid Leukemia",RECRUITING,MacroGenics,,2026-11,107.54,1.7,146.4,10.0,0.08,0.65,3.4,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,12.45,0.17,Low,Low
CTMX,2024-05-09,Loser,-51.31,2.04,Clinical Data,"CytomX Therapeutics announced disappointing Phase 1a clinical trial results for CX-904 on May 9, 2024, showing measurable tumor reduction in only 8 of 35 enrolled patients, causing the stock to drop 43%.",CX-904,NCT05387265,cancer,Phase 1,False,,,No,8/35 patients with measurable tumor reduction,"A Phase 1/1b, Open-label, Dose-finding, First-in-human Study to Evaluate the Safety and Antitumor Activity of CX-904, an EGFR-targeted T-cell Engager in Advanced Solid Tumors (CTMX-904-101)",PHASE1,83.0,Solid Tumors,TERMINATED,CytomX Therapeutics,,2025-06-04,901.4,5.32,143.63,23.0,0.09,0.94,9.0,buy,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T14:49:35.879453,True,True,13.52,3.8,High,High
